key,text
MENU_BACK,返回
BROTATO_ONLINE_MENU_SETTINGS,联机设置
BROTATO_ONLINE_SETTINGS_TITLE,土豆兄弟联机设置
BROTATO_ONLINE_INPUT_DEVICE,本机联机输入设备
BROTATO_ONLINE_INPUT_DEVICE_DESC,选择本机联机时使用的输入设备。进入大厅后不可更改。
BROTATO_ONLINE_INPUT_DEVICE_AUTO,自动选择
BROTATO_ONLINE_INPUT_DEVICE_AUTO_FORMAT,自动选择（当前：%s）
BROTATO_ONLINE_INPUT_DEVICE_KEYBOARD,键盘和鼠标
BROTATO_ONLINE_INPUT_DEVICE_UNKNOWN_GAMEPAD,未知手柄
BROTATO_ONLINE_INPUT_DEVICE_GAMEPAD_FORMAT,%s（设备 %d）
BROTATO_ONLINE_LOCAL_CHARACTER_OUTLINE,开启本机角色描边
BROTATO_ONLINE_LOCAL_CHARACTER_OUTLINE_DESC,联机战斗中，只给本机正在控制的角色添加人物描边。
BROTATO_ONLINE_QUICK_CHAT_CUSTOM_TITLE,自定义快捷用语
BROTATO_ONLINE_QUICK_CHAT_CUSTOM_DESC,留空=原版。自定义最多20个字。建议开窗口化再输入中文，不然输入法无法显示。
BROTATO_ONLINE_QUICK_CHAT_CANCEL,松开 Ctrl 取消
BROTATO_ONLINE_QUICK_CHAT_STAY_ALIVE,活下去
BROTATO_ONLINE_QUICK_CHAT_HURRY,快点！
BROTATO_ONLINE_QUICK_CHAT_ELLIPSIS,······
BROTATO_ONLINE_QUICK_CHAT_THIS_ONE,这个
BROTATO_ONLINE_QUICK_CHAT_STRONG_STRONG,强强？
BROTATO_ONLINE_QUICK_CHAT_QUESTION,？
BROTATO_ONLINE_QUICK_CHAT_NO,NO!
BROTATO_ONLINE_QUICK_CHAT_WAIT_A_SEC,等一下
BROTATO_ONLINE_PUBLIC_LOBBY_BROWSER_BUTTON,加入大厅
BROTATO_ONLINE_PUBLIC_LOBBY_PUBLIC_TOGGLE,公开
BROTATO_ONLINE_PUBLIC_LOBBY_TITLE,公共大厅
BROTATO_ONLINE_PUBLIC_LOBBY_SEARCHING,正在搜索公共大厅…
BROTATO_ONLINE_PUBLIC_LOBBY_NONE,没有找到可加入的公共大厅
BROTATO_ONLINE_PUBLIC_LOBBY_STEAM_UNAVAILABLE,Steam 大厅接口不可用
BROTATO_ONLINE_PUBLIC_LOBBY_REQUEST_FAILED,无法请求大厅列表
BROTATO_ONLINE_PUBLIC_LOBBY_REFRESH,刷新
BROTATO_ONLINE_PUBLIC_LOBBY_BACK,返回
BROTATO_ONLINE_PUBLIC_LOBBY_HOST,房主
BROTATO_ONLINE_PUBLIC_LOBBY_PLAYERS,人数
BROTATO_ONLINE_PUBLIC_LOBBY_PING,延迟
BROTATO_ONLINE_PUBLIC_LOBBY_STATE,状态
BROTATO_ONLINE_PUBLIC_LOBBY_JOIN,加入
BROTATO_ONLINE_PUBLIC_LOBBY_VIEW_MODS,Mods
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_TITLE,主机 Mod
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_UNSUPPORTED,该主机版本不支持查看 Mod。
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_UNKNOWN_FORMAT,主机使用了当前版本无法识别的 Mod 列表格式。
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_TOO_LARGE,主机 Mod 过多，无法通过大厅信息完整显示。
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_UNREADABLE,无法读取主机 Mod 列表。
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_EMPTY,主机未加载可识别的 Mod。
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_COUNT,%d 个 Mod
BROTATO_ONLINE_PUBLIC_LOBBY_MODS_UNKNOWN_NAME,未知 Mod
BROTATO_ONLINE_PUBLIC_LOBBY_CLOSE,关闭
BROTATO_ONLINE_PUBLIC_LOBBY_JOINING,加入中…
BROTATO_ONLINE_PUBLIC_LOBBY_CHECKING_LOBBY,正在确认大厅状态…
BROTATO_ONLINE_PUBLIC_LOBBY_LOBBY_NO_LONGER_PUBLIC,该大厅已关闭公开，请刷新列表。
BROTATO_ONLINE_PUBLIC_LOBBY_LOBBY_NO_LONGER_JOINABLE,该大厅当前不可加入。
BROTATO_ONLINE_PUBLIC_LOBBY_JOIN_VERIFY_FAILED,无法确认大厅状态，请刷新后重试。
BROTATO_ONLINE_PUBLIC_LOBBY_VERSION_MISMATCH,版本不兼容
BROTATO_ONLINE_PUBLIC_LOBBY_FULL,已满
BROTATO_ONLINE_PUBLIC_LOBBY_CHARACTER_SELECTION,角色选择
BROTATO_ONLINE_PUBLIC_LOBBY_COOP_RESUME,等待重连
BROTATO_ONLINE_PUBLIC_LOBBY_WEAPON_SELECTION,武器选择中
BROTATO_ONLINE_PUBLIC_LOBBY_DIFFICULTY_SELECTION,难度选择中
BROTATO_ONLINE_PUBLIC_LOBBY_GAME,游戏中
BROTATO_ONLINE_PUBLIC_LOBBY_SHOP,商店中
BROTATO_ONLINE_PUBLIC_LOBBY_BUSY,不可加入
BROTATO_ONLINE_PUBLIC_LOBBY_UNKNOWN,未知
BROTATO_ONLINE_PUBLIC_LOBBY_COUNT,%d 个大厅
BROTATO_ONLINE_PUBLIC_LOBBY_DIRECT_CONNECT,IP直连（LAN）
BROTATO_ONLINE_PUBLIC_LOBBY_DIRECT_TITLE,IP直连（LAN）
